"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid","mlbamid"
"George Kirby","SEA","2","2","0","5","5","30.2","7.04","0.59","0.29",".286","70.9%","42.4%","3.0%","95.3","2.93","3.58","2.63","3.92","1.0","25436","669923"
"Pablo Lopez","MIN","2","2","0","6","6","36.0","11.50","2.25","0.75",".326","70.4%","46.1%","9.4%","95.0","4.00","3.30","2.99","3.32","0.9","17085","641154"
"Shohei Ohtani","LAA","4","0","0","6","6","34.0","12.18","4.50","0.53",".150","86.5%","40.3%","7.4%","97.3","1.85","2.80","3.47","3.97","0.9","19755","660271"
"David Bednar","PIT","2","0","9","13","0","13.0","11.77","0.69","0.00",".250","77.8%","40.6%","0.0%","96.2","0.69","1.17","1.00","2.83","0.9","19569","670280"
"Drew Rasmussen","TBR","3","2","0","6","6","32.0","9.56","2.53","0.56",".345","74.0%","49.4%","8.3%","96.2","3.66","3.28","3.01","3.39","0.8","25385","656876"
"Justin Steele","CHC","4","0","0","6","6","36.1","7.93","2.72","0.50",".239","84.8%","53.2%","6.9%","92.3","1.49","2.97","3.41","3.96","0.8","17312","657006"
"Roansy Contreras","PIT","3","1","0","5","5","27.2","7.81","3.90","0.00",".316","71.1%","34.6%","0.0%","94.3","3.58","3.90","3.06","4.95","0.8","22810","672710"
"Drew Smyly","CHC","2","1","0","5","5","28.0","8.68","1.93","0.64",".247","67.5%","35.1%","5.7%","","3.21","2.37","3.24","4.29","0.8","11760","592767"
"Freddy Peralta","MIL","3","2","0","5","5","28.2","9.73","2.83","0.63",".295","71.4%","33.8%","6.3%","94.9","3.77","3.30","3.17","4.04","0.8","18679","642547"
"Framber Valdez","HOU","2","3","0","6","6","39.0","8.54","1.85","0.92",".306","74.9%","64.3%","21.1%","","2.54","4.57","3.59","3.03","0.8","17295","664285"
"Alex Cobb","SFG","1","1","0","6","6","33.1","8.91","1.08","0.81",".360","85.4%","60.8%","12.5%","95.1","2.43","3.84","3.02","3.00","0.8","6562","502171"
"Shane McClanahan","TBR","5","0","0","6","6","34.0","11.12","3.71","0.79",".260","88.4%","48.8%","10.7%","97.5","2.12","2.82","3.30","3.45","0.8","21483","663556"
"Shane Bieber","CLE","2","1","0","6","6","37.2","6.21","2.63","0.48",".268","75.2%","47.8%","6.3%","91.5","3.11","4.70","3.65","4.31","0.8","19427","669456"
"Matt Strahm","PHI","2","2","0","6","5","23.1","12.34","2.70","0.77",".213","81.4%","38.8%","9.1%","93.3","2.31","2.91","2.78","3.16","0.7","13799","621381"
"Lucas Giolito","CHW","1","2","0","6","6","34.2","8.83","1.56","1.04",".313","71.1%","34.3%","8.3%","93.5","4.15","3.76","3.79","4.48","0.7","15474","608337"
"Matt Brash","SEA","2","2","1","16","0","13.0","18.00","3.46","0.00",".519","61.9%","44.4%","0.0%","98.0","4.85","2.73","1.00","2.22","0.7","25756","666374"
